id;id_form_answer;id_input;id_sub_form;value;placement
1; 1; 6;;Answer to Question 1 Form 3; 0
2; 1; 7;;Answer to Question 2 Form 3; 0
3; 2; 4;;Answer to Question 2 Form 2; 0
4; 2; 5;;Answer to Question 1 Form 2; 0
5; 3; 1;;Answer to Question 1 Form 1; 0
6; 3; 2;;Answer to Question 2 Form 1; 0
7; 3; 3;;Answer to Question 3 Form 1; 0
8; 4; 4;;Answer to Question 2 Form 2; 0
9; 4; 5;;Answer to Question 1 Form 2; 0
10; 5; 6;;Answer to Question 1 Form 3; 0
11; 5; 7;;Answer to Question 2 Form 3; 0
12; 6; 1;;Answer to Question 1 Form 1; 0
13; 6; 2;;Answer to Question 2 Form 1; 0
14; 6; 3;;Answer to Question 3 Form 1; 0
